company_name,tier,contact_name,email,phone,website,city_state_zip,country,products_summary,product_codes,has_potting_products,source,extracted_date
1/2C Gladstone Street,Tier 1 - Craft Soil Blender,,,+611300284227,,,Australia,"We The Wild Anti-Gnat Concentrate Botanical Insecticide (wwu- 21925) l, We The Wild Bloom Concentrate (wwu-21926), We The Wild Bloom Pump & Go 0.14-0.10-2.84 (wwu-22307), We The Wild Hydro Pellets 1-0","wwu-21926, wwu-22307, wwu-21656, wwu-17247, wwu-22327, wwu-22355, wwu-18469, wwu-22306, wwu-21842, wwu-22352, wwu-22332",True,OMRI Products List,2026-02-05
AC Infinity Inc.,Tier 1 - Craft Soil Blender,Jimmy Liu,jimmy@acinfinity.com,+19095698014,www.acinfinity.com,,United States,AC Infinity INSTANT POTTING MIX Premium Buffered Coco Coir (ahy-19073),ahy-19073,True,OMRI Products List,2026-02-05
Agromin Corporation,Tier 1 - Craft Soil Blender,Dave Green,dave@agromin.com,+18002476646,www.agromin.com,"Oxnard, CA  93030",United States,"Agromin Compost 100 (amn-1165), Agromin Cover Mulch (amn-21056), Agromin ES-2 Mulch  (amn-17473), Agromin Potting Mix (amn-2605), Organic Compost (amn-6365), Organic Harvest All Purpose Potting Soil (","amn-1165, amn-21056, amn-17473, amn-2605, amn-6365, amn-5596, amn-6366",True,OMRI Products List,2026-02-05
Amerigrow,Tier 1 - Craft Soil Blender,David Tomlinson,dave@amerigrow.com,+15614998148,www.amerigrow.com,"Delray Beach, FL  33446",United States,"Amerigrow Eco-Soil Premium Organic Compost (arr-16518), Amerigrow Organic Potting Soil Compost Blend (arr- 21390)",arr-16518,True,OMRI Products List,2026-02-05
Austin Wood Recycling,Tier 1 - Craft Soil Blender,Mitch Warrick,mitch.warrick@austinwoodrecycling.com,+18175642506,,"Hutto, TX  78634",austinwoodrecycling.com,"Texas Native Biochar-Enhanced Organic Super Soil (awr-19464), Texas Native Enriched Topsoil (awr-19477), Texas Native Grower's Mix Premium Organic Soil (awr- 18964), Texas Native Hardwood Mulch (awr- ","awr-19464, awr-19477, awr-18741",True,OMRI Products List,2026-02-05
"Back to the Roots, Inc.",Tier 1 - Craft Soil Blender,Accounting,accounting@backtotheroots.com,+15109229758,,,USA,"Back to the Roots Organic 100% Coconut Coir  (brh-18599), Back to the Roots Organic Expanding Indoor Potting Mix Premium 100% Organic Coconut Coir (brh- 20716), Back to the Roots Organic Expanding Mul","brh-18599, brh-22533, brh-20964, brh-18600, brh-20853, brh-20852, brh-16072, brh-12890",True,OMRI Products List,2026-02-05
Blessing Greenhouses & Compost,Tier 1 - Craft Soil Blender,"Facility, Inc.",blessingsblends@gmail.com,+13026848990,www.blessingsblends.com,"Milford, DE  19963",United States,"Blessings Blends Organic Plant Food 5-1-4 (ble-3757), Blessings Blends Potting Mix (ble-3607), Blessings Blends Premium Compost (.5 -.5 -.4) (ble-2683)","ble-3757, ble-3607, ble-2683",True,OMRI Products List,2026-02-05
Botanicare,Tier 1 - Craft Soil Blender,Regulatory Affairs,state.reg@scotts.com,+18008084826,www.botanicare.com,,United States,"Botanicare Hydroguard Bacillus root inoculant (bta-4341), Botanicare Organicare Bloom 5-7-10 Nutrient Organic and Natural Fertilizer (bta-15354) l, Botanicare Organicare Grow 7-6-9 Nutrient Organic an","bta-4341, bta-15354, bta-15355, bta-15110",True,OMRI Products List,2026-02-05
"Brentwood Distribution, LLC",Tier 1 - Craft Soil Blender,Kristen McRae,kristen@prmulch.com,+16037224060,www.prmulch.com,,United States,"P.R. Russell Mulch & Soil Products Organic Seed Starting Mix formulated for Seed Germination Cuttings Ready-To-Use (bda-15282), P.R. Russell Mulch & Soil Products SOILITE Seed Starting Mix formulated ","bda-15282, bda-14620",True,OMRI Products List,2026-02-05
"Brut Worm Farms, Inc.",Tier 1 - Craft Soil Blender,Karen Larson,karen.larson@brutwormfarms.com,+1320-634-6727,,"Brooten, MN  56316",United States,"Brut Worm Farms Brut Aspen Mulch (bwo-19358), Brut Worm Farms Brut Chicken Compost (bwo-19357), Brut Worm Farms Brut Cow Compost (bwo-19356), Brut Worm Farms Brut Peat (bwo-11289), Brut Worm Farms Bru","bwo-19358, bwo-19357, bwo-19356, bwo-11289, bwo-20278",True,OMRI Products List,2026-02-05
COCONUT PRODUCTS IMPEX,Tier 1 - Craft Soil Blender,Sayed Asif,asif@coconutimpex.com,,www.coconutimpex.com,,India,BIO. AGRI Organic Coir Growing Mix (cox-14872),cox-14872,True,OMRI Products List,2026-02-05
Cedar Grove,Tier 1 - Craft Soil Blender,Marketing Team,,+18777645748,,"Seattle, WA  98108",USA,"Cedar Grove Booster Blend Garden Soil 1.60-0.90-1.50 (cgc-7410), Cedar Grove Compost 2.-0.7-1 (cgc-7411), Cedar Grove Potting Soil 1.1-0.3-0.4 (cgc-7466)","cgc-7410, cgc-7411, cgc-7466",True,OMRI Products List,2026-02-05
"Coast of Maine Organic Products, Inc.",Tier 1 - Craft Soil Blender,,compliance@coastofmaine.com,+1717-786-2146,www.coastofmaine.com,"Portland, ME  04101",United States,"Coast of Maine Bar Harbor Blend Organic & Natural Potting Soil (com-15517), Coast of Maine Castine Blend Organic & Natural Raised Bed Mix (com-15518), Coast of Maine Cobscook Blend In-Ground Garden So","com-15517, com-15518, com-19462, com-10177, com-22078, com-10178, com-15523, com-21840, com-21761, com-22001, com-22003, com-22004, com-22002, com-21780, com-22000, com-22275, com-18038, com-19465, com-15522, com-10179, com-3490, com-3714, com-3711, com-21250",True,OMRI Products List,2026-02-05
Cocolife Coir LLC,Tier 1 - Craft Soil Blender,Sales,info@cocolifecoir.com,+19252091975,,,United States,Cocolife Coir Expanding Potting Soil Premium 100% Quality Coconut Coir Pith (cdi- 21864) OMRI Products List Crop Products by Company 53,,True,OMRI Products List,2026-02-05
Crop Circle,Tier 1 - Craft Soil Blender,Will Pierce,will@cropcircle.us,,,,cropcircle.us,Crop Circle Midnight Extra Potting Soil (crw-22157),crw-22157,True,OMRI Products List,2026-02-05
