company_name,tier,state,email,website,phone,products
"Coconut Coir , Back to the Roots",Tier 1 - Craft,,jim@azomite.com,,,"potting soil, potting mix, seed starting"
"Deer Grove, Illinois 61243 PRO-MIX FLX Flexible Purpose Growing",Tier 1 - Craft,,venturelawusa@gmail.com,www.oryktamineralgoods.com,+17757422241,pro-mix
Dirtcraft Living Soils G-Force All,Tier 1 - Craft,,,,,"seedling mix, living soil"
"Enriched , Sun Gro Horticulture",Tier 1 - Craft,,brandon@sunshinemeadows.net,Sunshinemeadowsdelray.com,+15619010725,growing mix
For Transplanting And Seeding + Humic Premier Tech PRO-MIX CX AGTIV DEFEND,Tier 1 - Craft,TX,scotty@primaryocean.com,,+1(281)703-5058,pro-mix
Gro Horticulture Black Gold Natural &,Tier 1 - Craft,,earl.seibert@sunchemical.com,www.sunchemical.com,,"planting mix, peat moss"
"OM2 Sky , Berger Peat Moss OM6 Josef- Reither Str. 21-23 Mexico",Tier 1 - Craft,,golita_0314@hotmail.com,,+526671776613,peat moss
"South Africa Plant Food 10-3-6 , Whitney Farms",Tier 1 - Craft,,info@biorevolution.co.za,,+27218634888,"potting soil, raised bed mix"
True Organic pH Down Soil Acidifier (top-,Tier 1 - Craft,,kkmurthy@tropicalagro.com,,+919741588993,"potting mix, planting mix, organic soil"
"www.ultrateckinternational.com Peat Moss , Lambert Potting Mix",Tier 1 - Craft,,amsa@ultra-teck.com,www.ultrateckinternational.com,+522717160870 18215),"planting mix, peat moss"
,Tier 2,,s.pacifictrading@gmail.com,,,peat moss
,Tier 2,,bc@fertilemicrobes.com,www.fertilemicrobes.com,,organic soil
,Tier 2,,orgamuse@hotmail.com,,,"potting soil, planting mix"
,Tier 2,,lifeorganicsmexico@hotmail.com,www.lifeorganics.com,,"potting soil, peat moss"
", ProIntegrada PROIN CALCIMAX",Tier 2,NJ,prosourceplus@gmail.com,,+12014650899,peat moss
1433) l www.burrtec.com Maine Organic & Natural Wiscasset,Tier 2,CA,mveto@burrtecdesert.com,www.burrtec.com,+17605786169,planting mix
"15648), Keg River Organics* Keg90S (krc-",Tier 2,,far@kata.com,,,"potting soil, potting mix"
"20256) l, GARLAND Insecticide www.oxxe1.com",Tier 2,GA,rosmery.alvarez@oxxe1.com,www.oxxe1.com,+19548302181,coco coir
"49 Cutten Place, #200 Organic Vermiculite , Back to the",Tier 2,,martinlp@yucca.com.mx,www.yucca.com,+526461770475,"potting mix, seed starting"
5 Station street,Tier 2,,greg.cunningham@scotts.com,hawthorne-gardening.com,+19376452772,seed starting
"8672), Gardner & Bloome G&B Organics Eden l",Tier 2,,m.rl1983@hotmail.com,,+524621358015,"potting soil, blend potting"
"Algaecide/Bactericide l, Saf-T-",Tier 2,,kristen@prmulch.com,www.prmulch.com,+16037224060,seed starting
BEYOND Peat Professional Sean McLaughlin,Tier 2,WA,sean@watergliderint.com,,+15092423390,"coco peat, raised bed mix"
"BRANDT Planting Solutions, LLC",Tier 2,,stephanie.brenden@brandt.co,brandt.co,+12175475800 9662),promix
Bear River Zeolite Co.,Tier 2,MT,jcgustavsen54@verizon.net,www.bearriverzeolite.com,+14068273523,peat moss
Beltwide Incorporated The Gold,Tier 2,,,www.quiver.com,,peat moss
Beyond Peat Professional Organics,Tier 2,,,,,"potting mix, organic soil, raised bed mix"
"Bio-Ferm™ Organic 0-0-12 , IKAROS GOBER",Tier 2,,regulatory@biowishtech.com,www.biowishtech.com,,organic soil
Bio-Gene Technology Ltd,Tier 2,,peterm@bio-gene.com.au,https://bio-gene.com,,substrate
BioDOM 5,Tier 2,,dir.administrativo@pnm.com.mx,,,potting mix
"Bloome G&B Organics Rhododendron, Azalea",Tier 2,,johnbenjamin@longreachaustralia.com,,,organic soil
Blue Ribbon Landscaping Products www.minerquin.com,Tier 2,,,www.minerquin.com,,potting soil
Blue Ribbon Organics,Tier 2,WI,blessingsblends@gmail.com,www.blessingsblends.com,+13026848990 26100 1,potting mix
"Ca l, Loveland Products Leaf",Tier 2,,mail@kokogro.com,,,coco peat
Canada,Tier 2,,juancarlos.bisbal@pswsa.com,www.pswsa.com,+5114303662,"raised bed mix, transplant mix"
Canadian Sphagnum Peat Moss Plus (sgh-,Tier 2,FL,JMascorro@sunbulb.com,www.Better-gro.com,+18634944022,"potting mix, seedling mix"
"Chicken Compost , Brut Worm",Tier 2,,ron@byogon.com,www.byogon.com,,potting soil
Cocolife Coir LLC,Tier 2,WP,info@cocolifecoir.com,www.cocoagro.com,+19252091975,potting soil
"Coimbatore, Tamilnadu 641669",Tier 2,NY,k100desinfectante@gmail.com,mcenroeorganicfarm.com,+526642021510,growing mix
"Container & Bedding Plants , Jobe's",Tier 2,,thilannz@ecoagro.co.nz,https://ecoagro.co,,coco peat
"Crecimiento l, Quiver Hortamín",Tier 2,WA,daniel.waldron@lafargeholcim.com,lafargeholcim.com,,"peat moss, raised bed mix"
Curtis Watson Miracle-Gro Performance Organics Edibles,Tier 2 - Commodity,,cwatson@minickmaterials.com,minickmaterials.com,+14057892068,potting mix
ETiMINE USA INC. Granular Ulexite (Sodium,Tier 2,,friso@evergreensupplyonline.com,evergreensupplyonline.com,+18317245110,substrate
Eco Coir Products,Tier 2,,wonderpeat@gmail.com,www.ecocoir.com,+914622543101,growing media
FLOBOND DI20210,Tier 2,,sivakar@sivanthijoecoirs.com,www.sivanthijoecoirs.com,,coco coir
FYRPower,Tier 2,,accounts@supremecreations.com.au,https://biodieselnutrients.com,,substrate
"Foenix Forest Technology, Inc.",Tier 2,,info@seasoil.com,www.seasoil.com,+18667327645,potting mix
"Food , NutriHarvest® Gold All",Tier 2,,adrian.dyches@nutrimulch.com,,+523340406681,organic soil
