name,email,website,phone,country,city,state,zip_code,product_count,confidence
2grow,esteban.guardiola@hotmail.com,www.3tiertech.com,+18772267498,US,,,,1,75%
Acadian Seaplants Limited,kcook@acadian.ca,https://www.acadianseaplants.com/,+19024682840,Canada,,,,9,100%
AGgrow Tech,thamblin@aggrowtech.com,,+13367634842,United States,High Point,NC,27265,1,80%
Agri Organics,jbfarleyco@gmail.com,,,USA,,,,1,70%
AGRO ORGANICO BG S. DE R.L. DE C.V.,jcarlos@foliego.com,,+523310796203,Mexico,,,,1,80%
AJ GROW HOUSE MANUFACTURING,ajgrowhouse1983@gmail.com,https://ajgrowhouse.com,,India,,,,1,85%
Allied Waste/Pacific Region Compost,bkienholz@republicservices.com,www.coffinbuttelandfill.com,,United States,Corvallis,OR,97330,1,85%
"American Peat Technology, LLC",info@americanpeattech.com,www.americanpeattech.com,+18772575906,USA,Aitkin,MN,56431,1,95%
Amerigrow,dave@amerigrow.com,www.amerigrow.com,+15614998148,United States,Delray Beach,FL,33446,1,95%
Anasazi Gold Organics,anasazigold@gmail.com,www.anasazigoldorganics.com,+15057858306,United States,Albuquerque,NM,87119,5,100%
Annelida Soil Solutions Ltd,shannon.bosvik@annelida.ca,www.annelida.ca,,Canada,,,,2,90%
Applied Organic Solutions,brandon@aosdirect.com,www.aosdirect.com,+12083467194,United States,"Bldg B
Idaho Falls",ID,83401-1233,5,100%
ARBICO Organics,marketing@arbico.com,www.arbico-organics.com,+18008272847,United States,Tucson,AZ,85737,3,100%
Be Organics,info@bio-enhanced.com,www.Bio-Enhanced.com,+15416028990,United States,Corvallis,OR,97333,1,95%
Berger Peat Moss,productsupp@berger.ca,www.berger.ca,+14188624462,,,,,11,100%
Bio Inocuidad Organica,vervenzolmex@yahoo.com,,+523939351189,Mexico,,,,1,80%
Bio Soil Enhancers,wayne.wade@sumagrow.com,www.sumagrow.com,+18778882744,United States,Hattiesburg,MS,39401,1,95%
Bioorganica sa de cv,paul_obregon@hotmail.com,,+526688181056,México,,,,1,80%
BioOrganics™,graham@bio-organics.com,www.bio-organics.com,+18883327676,United States,New Hope,PA,18938,2,100%
Black Diamond Soil Services,valh99@yahoo.ca,www.blackdiamondsoilservices.ca,+18007177645,,,,,3,100%
