Name,Address
Blue View Greenhouse ,"1836 20th Ave., Rice Lake, WI 54868"
Driftless Organics ,"52450 McManus Road, Soldiers Grove, WI 54655"
Hanson's Garden Village ,"2660 County Rd G,  Rhinelander, WI 54501 "
Southern Wisconsin Organics ,"5113 East US 14, La Prairie, WI 54426"
Wery's Blossom Creek ,"3692 N Lakeview Dr, Suamico, WI 54173"
West Star Organics ,"2555 West Star Rd, Franklin, WI 53527"
BGC Growers ,"4933 West County Line Road, Milwaukee, WI 54481"
Deep Rooted Organics E,"8975 East Ridge Road, Westby, WI 54776"
Hauser's Superior View Farm ,"86565 County Highway J, Bayfield, WI 54814"
Ledgeview Gardens ,"5291 Cottonwood Lane, De Pere, WI 54115"
Olden Organics W,"11699 Olden Road, Ripon , WI 54971"
Karthauser & Sons W,"147N11100 Fond du Lac Ave,  Germantown, WI 53022"
Rush Creek Growers W,"4727 770th Ave,  Spring Valley, WI 54767 "
Brookside Farms ,"5027 US. HWY 41, Abrams, WI 54153 "
Fox Valley Greenhouse ,"1530 S Webster Ave, Green Bay, WI 54301"
Schwertel Family Farms W,"27348 State Rd 54 & 35, Trempealeau, WI 54661"
Stacks Family Farms ,"1501 St. Andrew Street, Suite 7, La Crosse, WI 54601 "
Door Creek Orchard ,"3252 Vilas Road, Cottage Grove, WI 53527 "
Fideler Farm ,"2863 Ridge Rd., Kewaskum, WI 53040 "
Future Farm Hemp ,"1750 8th Ave, Baldwin, WI 54619 "
"Hemp Haven Farms, LLC ","1506 Co Rd BB, Deerfield, WI 53597 "
Ruesch Century Farm ,"5001 Willow Lane, Vesper, WI 54489 "
Vitruvian Farms ,"2727 US-51,  McFarland, WI 53558 "
Donahue's Greenhouse ,"420 10th St SW,  Faribault, MN 55021"
Hoffman & McNamara ,"9045 180th St E,  Hastings, MN 55033"
Jim Whiting Nursery & Garden Center ,"3430 19th St NW, Rochester, MN 55901"
Kohnert Organic Farms ,"18009 Hwy 99, Le Center, MN 56069"
Landsburg Landscape Nursery ,"16460 Highway 371 North, Brainerd, MN 56401"
"Midland Nursery, Inc. ","3536 STATE HIGHWAY 55 SE, Stillwater, MN 55313"
Pahl's Market ,"6885 160th St W,  Apple Valley, MN 55124"
Prairie PROducers ,"2430 West Lincoln Avenue, Olivia, MN 56277"
Quarry Creek Nursery Inc. ,"4040 33rd Street South, St. Cloud, MN 56301"
Wagner Greenhouses ,"6024 Penn Ave S, Minneapolis, MN 55419 "
The Garden Spot,"3645 State Road 22, Oconto, WI, 54153"
"Teri Gear, Garden Vila","N4374 18th LN Wautoma WI, 54982"
Green Grove Supply LLC ,"N13426 Miller Ave, Owen, WI 54460"
"Little Sweet Flower Farm, LLC","7086 County Road Mm, Larsen, WI, 54947"
"Badger Boyz Greenhouses, LLC","N9341 State Park Road, Appleton, WI, 54913"
David J. Frank Landscape Contracting Inc.,"N120W21350 Freistadt Rd, Germantown, WI, 53022"
"Heritage Flower Farm, LLC","33725 County Road L, Mukwonago, WI, 53149"
McKay Nursery WL LLC,"5655 Lincoln Rd, Oregon, WI, 53575"
