business_name,license_number,license_type,status,address,city,state,zip,source_url
White Ash Pak Boz,AU-G-A-000159,Class A Marihuana Grower - License,Active,"5963 Scholl RD, Mancelona MI 49659",Mancelona,MI,49659,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Little Shop of Weed,AU-G-A-000156,Class A Marihuana Grower - License,Active,"1012 N Lansing ST, Mt. Pleasant MI 48858",Mt. Pleasant,MI,48858,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Faded Acres LLC,AU-G-A-000157,Class A Marihuana Grower - License,Active,"3624 Quade HWY, Rogers City MI 49779",Rogers City,MI,49779,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Space Cadet Cannabis,AU-G-A-000154,Class A Marihuana Grower - License,Active,"14111 White Creek AVE NE Suite H, Cedar Springs MI 49319",Cedar Springs,MI,49319,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"Tarantula Genetics, LLC",AU-G-A-000155,Class A Marihuana Grower - License,License Void,"1171 W Frances RD, Mount Morris MI 48458",Mount Morris,MI,48458,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Sapura,AU-G-A-000153,Class A Marihuana Grower - License,License Void,"520 E Dresden ST, Kalkaska MI 49646",Kalkaska,MI,49646,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Tri State Wellness & Recreational,AU-G-A-000152,Class A Marihuana Grower - License,License Void,"7503 E Reading RD, Pittsford MI 49271",Pittsford,MI,49271,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"Hazen Gardens, LLC",AU-G-A-000151,Class A Marihuana Grower - License,Active,"21864 W County Line RD, Augusta MI 49012",Augusta,MI,49012,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"3165 Farms, LLC",AU-G-A-000149,Class A Marihuana Grower - License,Active,"3165 Alabaster RD, Tawas City MI 48763",Tawas City,MI,48763,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Wise Tree Farms LLC,AU-G-A-000147,Class A Marihuana Grower - License,Active,"8751 N Wise RD, Clare MI 48617",Clare,MI,48617,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
Plughead Gardens,AU-G-B-000345,Class B Marihuana Grower - License,Active,"195 E Howard ST, Breedsville MI 49027",Breedsville,MI,49027,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"Rad Rootz, LLC",AU-G-B-000346,Class B Marihuana Grower - License,Active,"4611 Platt LN, Ann Arbor MI 48108",Ann Arbor,MI,48108,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"BG Grow, LLC",AU-G-B-000344,Class B Marihuana Grower - License,Active,"23881 Dequindre RD, Hazel Park MI 48030",Hazel Park,MI,48030,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
"Garden Holdings C, LLC",AU-G-B-000341,Class B Marihuana Grower - License,Active,"32330 Ford RD Suite A, Garden City MI 48135",Garden City,MI,48135,https://aca-prod.accela.com/MIMM/Cap/CapHome.aspx?module=Adult_Use&TabName=Adult_Use
